Date,Directories,Files,"Lines of Code (LOC)","Cyclomatic Complexity / Lines of Code","Comment Lines of Code (CLOC)","Non-Comment Lines of Code (NCLOC)",Namespaces,Interfaces,Traits,Classes,"Abstract Classes","Concrete Classes","Average Class Length (NCLOC)",Methods,"Non-Static Methods","Static Methods","Public Methods","Non-Public Methods","Average Method Length (NCLOC)","Cyclomatic Complexity / Number of Methods","Anonymous Functions",Functions,Constants,"Global Constants","Class Constants"
"Fri May 17 01:38:43 2013 -0700",136,656,240616,0.059968755177882,71628,168988,0,7,0,1019,14,1005,168.90677134446,6323,5808,515,5611,712,27.220623121936,2.562707575518,0,35,112,74,38
"Thu May 9 12:18:26 2013 -0400",136,656,240534,0.05997999088342,71611,168923,0,7,0,1019,14,1005,168.8390578999,6319,5804,515,5607,712,27.226934641557,2.5633802816901,0,35,112,74,38
"Mon May 6 09:21:45 2013 -0700",136,656,240476,0.0599970392302,71601,168875,0,7,0,1019,14,1005,168.79391560353,6319,5804,515,5607,712,27.219655008704,2.5633802816901,0,35,112,74,38
"Wed May 1 09:46:57 2013 -0400",136,656,240427,0.060043590533273,71583,168844,0,7,0,1019,14,1005,168.76054955839,6316,5801,515,5604,712,27.227200759975,2.5650728309056,0,35,112,74,38
"Mon Apr 29 07:34:06 2013 -0700",136,656,240404,0.060025353647845,71592,168812,0,7,0,1019,14,1005,168.73110893032,6314,5799,515,5602,712,27.231073804245,2.5650934431422,0,35,112,74,38
"Thu Apr 25 14:58:39 2013 -0700",136,656,240281,0.060043150457585,71569,168712,0,7,0,1019,14,1005,168.62806673209,6309,5794,515,5597,712,27.236012046283,2.56585829767,0,35,112,74,38
"Mon Apr 22 11:36:17 2013 +0200",136,656,240252,0.060039836858579,71564,168688,0,7,0,1019,14,1005,168.60942100098,6308,5793,515,5596,712,27.23731769182,2.5659480025365,0,35,112,74,38
"Thu Apr 18 21:22:50 2013 -0400",136,656,240184,0.060077209087189,71551,168633,0,7,0,1019,14,1005,168.55348380765,6306,5791,515,5594,712,27.236917221694,2.5669203932762,0,35,112,74,38
"Tue Apr 9 21:30:20 2013 -0400",136,656,240142,0.060088611574071,71541,168601,0,7,0,1019,14,1005,168.51619234544,6304,5789,515,5593,711,27.239530456853,2.5674175126904,0,35,114,76,38
"Sun Mar 31 00:23:03 2013 +0530",136,656,240085,0.060072495150181,71522,168563,0,7,0,1019,14,1005,168.48282630029,6302,5787,515,5591,711,27.242780069819,2.5675975880673,0,35,114,76,38
"Wed Mar 27 00:12:24 2013 +0530",136,656,240036,0.060067526271755,71509,168527,0,7,0,1019,14,1005,168.44749754661,6301,5786,515,5590,711,27.241390255515,2.5673702586891,0,35,114,76,38
"Mon Mar 18 21:27:00 2013 -0400",136,657,240021,0.06006576370176,71539,168482,0,7,0,1020,14,1006,168.23921568627,6303,5788,515,5591,712,27.225765508488,2.5663969538315,0,35,114,76,38
"Thu Mar 14 07:23:51 2013 -0700",136,656,239920,0.060081581275494,71499,168421,0,7,0,1019,14,1005,168.34249263984,6299,5784,515,5588,711,27.233052865534,2.5672328941102,0,35,114,76,38
"Tue Mar 5 20:58:03 2013 -0500",136,656,239889,0.060064607308702,71487,168402,0,7,0,1019,14,1005,168.33169774289,6298,5783,515,5587,711,27.235630358844,2.566846617974,0,35,114,76,38
"Fri Mar 1 13:37:52 2013 +0100",136,656,239818,0.060078060487967,71487,168331,0,7,0,1019,14,1005,168.26202158979,6298,5783,515,5587,711,27.224356938711,2.5665290568434,0,35,114,76,38
"Sun Feb 24 09:07:15 2013 -0800",136,656,239615,0.060097268630272,71421,168194,0,7,0,1015,14,1001,168.79507389163,6294,5779,515,5583,711,27.220686367969,2.5667302192564,0,35,114,76,38
"Wed Feb 13 22:48:56 2013 -0500",136,656,239522,0.060075778754587,71401,168121,0,7,0,1015,14,1001,168.71921182266,6291,5776,515,5580,711,27.22142743602,2.5662056906692,0,35,114,76,38
"Sat Feb 9 14:06:24 2013 -0500",136,656,239452,0.060083181112294,71385,168067,0,7,0,1015,14,1001,168.66305418719,6289,5774,515,5578,711,27.221020830021,2.5663857529019,0,35,114,76,38
"Fri Feb 8 21:08:15 2013 +0900",136,656,238807,0.060083538609832,70741,168066,0,7,0,1015,14,1001,168.66206896552,6289,5774,515,5578,711,27.220861822229,2.5663857529019,0,35,114,76,38
"Mon Feb 4 09:26:50 2013 +0100",136,656,238665,0.060129691491452,70728,167937,0,7,0,1015,14,1001,168.53300492611,6287,5772,515,5576,711,27.208684587244,2.566884046445,0,35,114,76,38
"Wed Jan 30 13:54:09 2013 +0100",136,655,238463,0.060147733365104,70593,167870,0,7,0,1015,14,1001,168.48472906404,6285,5771,514,5574,711,27.209546539379,2.5672235481305,0,35,114,76,38
"Sat Jan 26 21:16:26 2013 -0500",136,655,238333,0.060145087356418,70572,167761,0,7,0,1015,14,1001,168.3802955665,6282,5768,514,5572,710,27.205666985037,2.5674944285259,0,35,114,76,38
"Fri Jan 11 17:35:39 2013 +0530",136,655,238160,0.060178470170412,70625,167535,0,7,0,1015,14,1001,168.1645320197,6277,5764,513,5567,710,27.192448621953,2.5674685359248,0,35,114,76,38
"Tue Jan 8 20:15:46 2013 -0500",136,655,238021,0.060169866090094,70595,167426,0,7,0,1015,14,1001,168.05320197044,6272,5760,512,5564,708,27.196109693878,2.5674426020408,0,35,114,76,38
"Fri Dec 28 02:02:05 2012 +0530",136,655,237833,0.060182334479151,70558,167275,0,7,0,1015,14,1001,167.89753694581,6266,5754,512,5558,708,27.196935844239,2.5678263645069,0,35,114,76,38
"Sun Dec 23 00:23:01 2012 +0100",136,655,237772,0.060238009807439,70552,167220,0,7,0,1015,14,1001,167.84236453202,6265,5753,512,5561,704,27.192338387869,2.5690343176377,0,35,114,76,38
"Thu Dec 20 17:46:07 2012 -0800",136,655,237708,0.060231161310393,70552,167156,0,7,0,1015,14,1001,167.77733990148,6263,5752,511,5559,704,27.190483793709,2.5687370269839,0,35,114,76,38
"Sun Dec 16 13:32:38 2012 -0500",136,655,237627,0.060292366517272,70508,167119,0,7,0,1015,14,1001,167.73891625616,6261,5750,511,5558,703,27.192940424852,2.57051589203,0,35,114,76,38
"Mon Dec 10 17:06:06 2012 +0100",136,655,237427,0.060245798545812,70461,166966,0,7,0,1015,14,1001,167.57438423645,6257,5746,511,5555,702,27.183634329551,2.5688029407064,0,35,114,76,38
"Sun Dec 2 07:49:08 2012 -0800",136,655,237354,0.06028621575804,70417,166937,0,7,0,1015,14,1001,167.53793103448,6249,5738,511,5555,694,27.21251400224,2.5716114578333,0,35,114,76,38
"Wed Nov 28 18:33:39 2012 -0800",136,655,237025,0.060322696737044,70305,166720,0,7,0,1015,14,1001,167.30541871921,6234,5723,511,5542,692,27.240134744947,2.5742701315367,0,35,114,76,38
"Sat Nov 24 10:09:35 2012 -0800",136,655,236891,0.060339397865716,70184,166707,0,7,0,1015,14,1001,167.27881773399,6232,5721,511,5541,691,27.244544287548,2.5750962772786,0,35,114,76,38
"Wed Nov 14 21:50:29 2012 -0500",136,655,236581,0.060256156215661,70042,166539,0,7,0,1015,14,1001,167.05123152709,6226,5715,511,5535,691,27.233697398008,2.572759396081,0,35,114,76,38
"Fri Nov 9 22:32:29 2012 -0500",136,654,236235,0.060321965710712,69944,166291,0,7,0,1014,14,1000,166.97238658777,6220,5709,511,5529,691,27.220257234727,2.5737942122186,0,35,114,76,38
"Fri Nov 2 08:12:48 2012 +0700",136,654,235891,0.06037203922797,69887,166004,0,7,0,1014,14,1000,166.67948717949,6212,5701,511,5522,690,27.207501609788,2.5743721828719,0,35,114,76,38
"Sat Oct 27 22:50:02 2012 -0400",136,654,235914,0.060364039367328,69888,166026,0,7,0,1014,14,1000,166.70118343195,6212,5701,511,5522,690,27.211043142305,2.5743721828719,0,35,114,76,38
"Wed Oct 24 21:00:56 2012 -0400",136,654,235748,0.060368783040079,69851,165897,0,7,0,1014,14,1000,166.56804733728,6207,5697,510,5518,689,27.211213146448,2.5745126470114,0,35,114,76,38
"Sat Oct 20 20:48:11 2012 -0400",136,654,235695,0.060438699096796,69841,165854,0,7,0,1014,14,1000,166.5157790927,6205,5695,510,5516,689,27.211442385173,2.5761482675262,0,35,114,76,38
"Sun Oct 7 20:17:31 2012 +0530",136,654,235381,0.060509438747781,69787,165594,0,7,0,1014,14,1000,166.24950690335,6197,5688,509,5508,689,27.203001452316,2.5775375181539,0,35,114,76,38
"Mon Oct 1 09:30:08 2012 -0700",136,654,235123,0.060533887854535,69695,165428,0,7,0,1014,14,1000,166.07396449704,6188,5680,508,5500,688,27.213800904977,2.5788623141564,0,35,112,76,36
"Thu Sep 27 17:38:58 2012 -0700",136,654,235025,0.060551080146116,69677,165348,0,7,0,1014,14,1000,165.99013806706,6186,5678,508,5498,688,27.208858713223,2.5790494665373,0,35,112,76,36
"Mon Sep 24 01:26:29 2012 -0700",136,653,234836,0.060593589619444,69604,165232,0,7,0,1013,14,999,166.03751233959,6177,5669,508,5490,687,27.229399384815,2.5813501699854,0,35,112,76,36
"Tue Sep 18 00:59:27 2012 -0700",136,653,234568,0.060631214139003,69521,165047,0,7,0,1013,14,999,165.84304047384,6168,5661,507,5482,686,27.237191958495,2.5828469520104,0,35,112,76,36
"Thu Sep 13 21:05:10 2012 -0400",136,653,234309,0.060631239310537,69427,164882,0,7,0,1013,14,999,165.66337611056,6151,5647,504,5465,686,27.282880832385,2.5855958380751,0,35,112,76,36
"Thu Sep 13 00:10:22 2012 -0700",136,653,234089,0.060682588055316,69363,164726,0,7,0,1013,14,999,165.5064165844,6146,5642,504,5461,685,27.279205987634,2.5867230719167,0,35,109,76,33
"Mon Sep 3 20:09:13 2012 -0400",135,652,233975,0.060609190095497,69363,164612,0,7,0,1012,14,998,165.64031620553,6144,5640,504,5459,685,27.283203125,2.58740234375,0,35,109,76,33
"Thu Aug 30 16:35:36 2012 +0100",135,651,233527,0.060649041534519,69254,164273,0,7,0,1012,14,998,165.34387351779,6130,5627,503,5446,684,27.296574225122,2.5887438825449,0,35,109,76,33
"Sat Aug 25 17:31:21 2012 -0400",135,651,233409,0.060654609250787,69250,164159,0,7,0,1012,14,998,165.23023715415,6129,5626,503,5445,684,27.282264643498,2.5880241474955,0,35,109,76,33
"Thu Aug 23 13:16:34 2012 -0700",135,651,233336,0.060645578028166,69235,164101,0,7,0,1012,14,998,165.16996047431,6126,5623,503,5442,684,27.285667646099,2.5879856349984,0,35,109,76,33
"Fri Aug 10 21:48:22 2012 -0400",135,649,232734,0.060686950625806,69025,163709,0,7,0,1010,14,996,165.10297029703,6105,5603,502,5422,683,27.314332514333,2.5906633906634,0,35,109,76,33
"Wed Aug 8 13:13:28 2012 +0200",135,649,232500,0.060651457432693,68959,163541,0,7,0,1009,14,995,165.10009910803,6096,5595,501,5416,680,27.327099737533,2.5905511811024,0,35,109,76,33
"Thu Aug 2 21:34:45 2012 -0400",135,649,231923,0.060689849670157,68815,163108,0,7,0,1008,14,994,164.80654761905,6077,5576,501,5400,677,27.336679282541,2.5922330097087,0,35,109,76,33
"Sun Jul 22 21:28:49 2012 -0400",135,648,231509,0.060663210143503,68725,162784,0,7,0,1007,14,993,164.64448857994,6069,5568,501,5394,675,27.318668643928,2.5908716427748,0,35,107,76,31
"Sat Jul 21 07:02:34 2012 -0700",135,647,231212,0.060659921891817,68617,162595,0,7,0,1006,14,992,164.61033797217,6060,5562,498,5386,674,27.326402640264,2.5912541254125,0,35,107,76,31
"Sun Jul 15 09:11:27 2012 -0400",135,647,230819,0.060628465804067,68519,162300,0,7,0,1005,14,991,164.4736318408,6040,5543,497,5369,671,27.366887417219,2.5927152317881,0,35,107,76,31
"Sun Jul 1 17:35:24 2012 -0430",135,647,230453,0.060731943681446,68446,162007,0,7,0,1005,14,991,164.1671641791,6030,5533,497,5360,670,27.361194029851,2.593864013267,0,35,107,76,31
"Sun Jun 24 11:29:31 2012 -0400",135,647,230388,0.060737018218636,68411,161977,0,7,0,1005,14,991,164.13134328358,6022,5526,496,5352,670,27.391564264364,2.5958153437396,0,35,107,76,31
"Tue Jun 19 18:35:36 2012 +0200",135,647,230437,0.060775697127551,68415,162022,0,7,0,1005,14,991,164.17611940299,6022,5526,496,5352,670,27.399036864829,2.5973098638326,0,35,107,76,31
"Fri Jun 1 20:38:38 2012 +0200",135,647,230322,0.060813982213439,68402,161920,0,7,0,1005,14,991,164.07263681592,6020,5524,496,5350,670,27.390863787375,2.5978405315615,0,35,107,76,31
"Sat Jun 9 15:27:22 2012 -0430",135,647,230223,0.06084366755025,68382,161841,0,7,0,1005,14,991,163.99004975124,6017,5521,496,5348,669,27.390726275553,2.5986371946153,0,35,107,76,31
"Thu Jun 7 08:43:05 2012 +0200",135,647,230126,0.060851826667491,68356,161770,0,7,0,1005,14,991,163.91542288557,6015,5519,496,5346,669,27.387364921031,2.5986699916874,0,35,107,76,31
"Sun Jun 3 21:11:20 2012 -0400",135,647,230005,0.060843205790467,68360,161645,0,7,0,1004,14,990,163.95717131474,6015,5519,496,5344,671,27.367082294264,2.5971737323358,0,35,107,76,31
"Wed May 30 15:39:43 2012 -0700",134,645,229570,0.06088002579557,68302,161268,0,7,0,1001,14,987,164.06993006993,5997,5502,495,5327,670,27.386026346507,2.5991328997832,0,35,107,76,31
"Sun May 27 19:18:14 2012 +0200",134,645,229355,0.060847545989424,68231,161124,0,7,0,1001,14,987,163.91608391608,5990,5499,491,5320,670,27.392320534224,2.5986644407346,0,35,107,76,31
"Tue May 22 21:27:05 2012 -0400",134,645,229257,0.060866109462128,68215,161042,0,7,0,1001,14,987,163.84315684316,5987,5496,491,5318,669,27.393853348923,2.5991314514782,0,35,107,76,31
"Sat May 12 20:33:56 2012 +0530",134,645,229064,0.060889129205278,68165,160899,0,7,0,1001,14,987,163.69230769231,5981,5490,491,5313,668,27.396087610767,2.5998996823274,0,35,107,76,31
"Tue May 15 10:38:46 2012 +0700",132,640,226498,0.061300900855624,67316,159182,0,7,0,996,14,982,162.69578313253,5886,5396,490,5228,658,27.530581039755,2.6190961603806,0,35,107,76,31
"Sun May 13 04:43:21 2012 -0700",132,640,226074,0.061373158364892,67112,158962,0,7,0,996,14,982,162.44176706827,5876,5391,485,5220,656,27.534377127297,2.6204901293397,0,35,113,82,31
"Sat May 12 21:09:15 2012 -0400",132,640,226073,0.061403453590413,67108,158965,0,7,0,996,14,982,162.44578313253,5876,5391,485,5220,656,27.535057862491,2.6213410483322,0,35,113,82,31
"Sat May 12 00:18:47 2012 +0530",132,640,225813,0.061974386272151,67070,158743,0,7,0,996,14,982,162.23293172691,5871,5387,484,5215,656,27.522398228581,2.6358371657299,0,35,113,82,31
"Thu May 10 00:05:30 2012 -0430",132,636,224899,0.061908225546314,66794,158105,0,7,0,990,13,977,162.59393939394,5837,5364,473,5185,652,27.577180058249,2.6371423676546,0,35,113,82,31
"Mon May 7 21:48:58 2012 +0100",132,636,224770,0.061914194761058,66761,158009,0,7,0,990,13,977,162.49191919192,5834,5361,473,5182,652,27.574048680151,2.6371271854645,0,35,113,82,31
"Wed May 9 17:48:44 2012 -0700",132,636,224569,0.061980093891955,66728,157841,0,7,0,990,13,977,162.31414141414,5830,5357,473,5179,651,27.562778730703,2.6380789022298,0,35,114,83,31
"Sat May 5 17:20:44 2012 -0700",132,636,224539,0.061962603202362,66718,157821,0,7,0,990,13,977,162.29191919192,5830,5357,473,5179,651,27.559005145798,2.6373927958834,0,35,114,83,31
"Mon Apr 30 17:16:08 2012 -0700",132,636,224115,0.062005511601031,66629,157486,0,7,0,990,13,977,161.94141414141,5818,5346,472,5168,650,27.556204881403,2.6383636988656,0,35,114,83,31
"Thu Apr 26 20:19:03 2012 -0400",132,636,224014,0.062006048130924,66610,157404,0,7,0,990,13,977,161.85353535354,5814,5342,472,5164,650,27.560199518404,2.6386308909529,0,35,114,83,31
"Tue Apr 24 20:01:13 2012 -0400",132,635,223933,0.062014666446373,66567,157366,0,7,0,988,13,975,162.14473684211,5813,5341,472,5164,649,27.558747634612,2.6387407534836,0,35,114,83,31
"Sun Apr 22 19:14:24 2012 -0430",132,635,223653,0.061960919013816,66441,157212,0,7,0,988,13,975,161.97064777328,5785,5317,468,5140,645,27.662402765774,2.6435609334486,0,35,114,83,31
"Fri Apr 13 09:36:43 2012 +0530",129,627,221684,0.062066754304402,65739,155945,0,7,0,979,12,967,162.13278855975,5708,5242,466,5071,637,27.807988787666,2.6548703573931,0,35,114,83,31
"Sun Apr 15 22:20:34 2012 -0400",129,626,221332,0.062066485125623,65628,155704,0,7,0,977,12,965,162.20266120778,5695,5229,466,5060,635,27.826514486392,2.6553116769096,0,35,114,83,31
"Fri Apr 6 21:46:34 2012 -0400",129,624,218379,0.062198492789903,64983,153396,0,7,0,974,12,962,160.26488706366,5614,5180,434,4985,629,27.805130032063,2.6572853580335,0,35,114,83,31
"Sun Apr 1 18:19:08 2012 -0700",129,624,218166,0.062220597928591,64937,153229,0,7,0,973,12,961,160.25282631038,5609,5176,433,4982,627,27.799251203423,2.6575147085042,0,35,114,83,31
"Tue Mar 20 20:54:41 2012 -0400",129,624,217806,0.06223399038933,64851,152955,0,7,0,971,12,959,160.28939237899,5594,5162,432,4972,622,27.822845906328,2.6592777976403,0,35,114,83,31
"Sun Mar 11 22:31:53 2012 +0530",129,624,218031,0.062017021720969,64815,153216,0,7,0,971,12,959,160.53964984552,5566,5135,431,4948,618,28.00646784046,2.6645706072584,0,35,114,83,31
"Mon Mar 12 20:31:33 2012 -0400",129,624,217671,0.062066755604384,64755,152916,0,7,0,971,12,959,160.22142121524,5556,5126,430,4942,614,28.001259899208,2.6655867530598,0,35,114,83,31
"Sat Mar 10 22:29:35 2012 -0500",129,624,217252,0.062107201604289,64661,152591,0,7,0,970,12,958,160.03917525773,5542,5112,430,4928,614,28.011187297005,2.6672681342476,0,35,114,83,31
"Wed Mar 7 19:52:06 2012 -0500",129,624,217122,0.062077785793927,64652,152470,0,7,0,970,12,958,159.9412371134,5541,5111,430,4927,614,27.999097635806,2.6654033567948,0,35,114,83,31
"Sun Mar 4 06:51:02 2012 -0800",129,624,217005,0.062096885313667,64598,152407,0,7,0,970,12,958,159.86907216495,5541,5111,430,4927,614,27.986464537087,2.665222883956,0,35,114,83,31
"Sat Mar 3 18:55:07 2012 -0500",129,624,216806,0.062152645478315,64584,152222,0,7,0,970,12,958,159.6793814433,5539,5109,430,4925,614,27.96335078534,2.6652825419751,0,35,114,83,31
"Wed Feb 29 08:32:45 2012 -0800",129,624,216644,0.062185979218729,64584,152060,0,7,0,968,12,956,159.83884297521,5537,5107,430,4923,614,27.943651797002,2.6649810366625,0,35,114,83,31
"Thu Feb 23 17:11:08 2012 -0800",129,624,216617,0.062270628625548,64571,152046,0,7,0,968,12,956,159.80681818182,5536,5106,430,4924,612,27.943099710983,2.6663656069364,0,35,114,83,31
"Wed Feb 22 22:49:42 2012 +0100",129,624,216616,0.062273905207909,64578,152038,0,7,0,968,12,956,159.79855371901,5536,5106,430,4924,612,27.941654624277,2.6663656069364,0,35,114,83,31
"Tue Feb 21 18:24:16 2012 -0800",129,624,216462,0.062371622689208,64566,151896,0,7,0,968,12,956,159.64566115702,5534,5104,430,4922,612,27.925009035056,2.6680520419227,0,35,114,83,31
"Mon Feb 20 21:23:29 2012 -0500",129,624,216355,0.062377346065196,64505,151850,0,7,0,968,12,956,159.58884297521,5534,5104,430,4948,586,27.915070473437,2.667690639682,0,35,114,83,31
"Sun Feb 19 08:56:55 2012 -0800",128,620,215258,0.062223868356306,64062,151196,0,7,0,963,12,951,159.7528556594,5501,5072,429,4917,584,27.966187965824,2.6660607162334,0,35,111,83,28
"Thu Feb 16 13:07:37 2012 -0800",128,620,215045,0.062255521653087,63958,151087,0,7,0,963,12,951,159.6261682243,5488,5060,428,4904,584,28.010204081633,2.6696428571429,0,35,111,83,28
"Tue Feb 14 23:26:55 2012 +0700",128,620,215030,0.062265000264788,63966,151064,0,7,0,963,12,951,159.60539979232,5489,5061,428,4905,584,28.001457460375,2.6693386773547,0,35,111,83,28
"Sun Feb 12 21:04:35 2012 -0430",126,618,214605,0.062318398322962,63863,150742,0,7,0,958,12,946,160.10334029228,5477,5084,393,4895,582,28.004199379222,2.6708051853204,0,35,111,83,28
"Fri Feb 10 17:26:05 2012 +0100",126,614,212416,0.062719568773633,63260,149156,0,7,0,951,12,939,159.56677181914,5405,5013,392,4824,581,28.075485661425,2.6860314523589,0,35,110,82,28
